keyword,normalized_query,search_intent,cluster,subcluster,country,city,audience,course,problem,funnel_stage,estimated_demand,competition_evidence,opportunity_score,ai_search_potential,existing_target_url,recommended_target_url,cannibalization_risk,content_type,action,evidence_source,confidence
what is sajda tilawat,what is sajda tilawat,informational,salah-prayer,guide,India,,none,none,none,top,GSC_IMPRESSIONS_68D:2,GSC_AVG_POSITION:11,48.0,HIGH,/blog/sajdah-tilawat-dua-arabic-english,/blog/sajdah-tilawat-dua-arabic-english,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
dua e masura english,dua e masura english,informational,duas-supplications,guide,India,,none,none,none,top,GSC_IMPRESSIONS_68D:4,GSC_AVG_POSITION:7,47.7,MEDIUM,/blog/dua-e-masura-arabic-english,/blog/dua-e-masura-arabic-english,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
ons 2021 census muslim population england wales 3.9 million,ons 2021 census muslim population england wales 3.9 million,informational,islamic-demographics,reference,United States,,none,none,none,top,GSC_IMPRESSIONS_68D:4,GSC_AVG_POSITION:7.5,47.7,MEDIUM,/blog/muslim-population-statistics-uk-usa,/blog/muslim-population-statistics-uk-usa,LOW,reference,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
ons muslim population england wales 2021 3.9 million,ons muslim population england wales 2021 3.9 million,informational,islamic-demographics,reference,United States,,none,none,none,top,GSC_IMPRESSIONS_68D:4,GSC_AVG_POSITION:7.5,47.7,MEDIUM,/blog/muslim-population-statistics-uk-usa,/blog/muslim-population-statistics-uk-usa,LOW,reference,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
durood sharif in english,durood sharif in english,informational,duas-supplications,guide,Australia,,none,none,none,top,GSC_IMPRESSIONS_68D:8,GSC_AVG_POSITION:37.5,47.6,HIGH,/blog/darood-sharif,/blog/darood-sharif,LOW,guide,CONTENT REFRESH,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
inshallah in english,inshallah in english,informational,islamic-terms,definition,Netherlands,,none,none,none,top,GSC_IMPRESSIONS_68D:8,GSC_AVG_POSITION:39.4,47.6,HIGH,/blog/inshallah-meaning-in-english,/blog/inshallah-meaning-in-english,LOW,definition,CONTENT REFRESH,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
adult quran classes,adult quran classes,commercial,quran-learning-service,service,Saudi Arabia,,adults,none,none,middle,GSC_IMPRESSIONS_68D:7,GSC_AVG_POSITION:72,47.3,MEDIUM,/online-quran-classes-for-adults,/online-quran-classes-for-adults,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
atiyat surah in english,atiyat surah in english,informational,quran-surahs,reference,India,,none,none,none,top,GSC_IMPRESSIONS_68D:3,GSC_AVG_POSITION:19.7,47.3,HIGH,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,reference,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
dua e masura short,dua e masura short,informational,duas-supplications,guide,India,,none,none,none,top,GSC_IMPRESSIONS_68D:3,GSC_AVG_POSITION:7.3,47.3,MEDIUM,/blog/dua-e-masura-arabic-english,/blog/dua-e-masura-arabic-english,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
uk muslim population percentage 2021 census england wales scotland northern ireland,uk muslim population percentage 2021 census england wales scotland northern ireland,informational,islamic-demographics,reference,United States,,none,none,none,top,GSC_IMPRESSIONS_68D:3,GSC_AVG_POSITION:9,47.3,MEDIUM,/blog/muslim-population-statistics-uk-usa,/blog/muslim-population-statistics-uk-usa,LOW,reference,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
what is wazifa,what is wazifa,informational,duas-supplications,guide,Pakistan,,none,none,none,top,GSC_IMPRESSIONS_68D:3,GSC_AVG_POSITION:12,47.3,HIGH,/blog/what-is-wazifa-in-islam,/blog/what-is-wazifa-in-islam,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
al quran class singapore,al quran class singapore,commercial,quran-learning-service,service,United States,,none,none,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:80,47.1,MEDIUM,/locations/online-quran-classes-singapore,/locations/online-quran-classes-singapore,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
arabic letter ha,arabic letter ha,informational,noorani-qaida,course,New Zealand,,none,none,none,top,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:38,47.1,LOW,/noorani-qaida/arabic-letters/ha,/noorani-qaida/arabic-letters/ha,MEDIUM,course,MONITOR,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
arabic letter haa,arabic letter haa,informational,noorani-qaida,course,New Zealand,,none,none,none,top,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:38,47.1,LOW,/noorani-qaida/arabic-letters/haa,/noorani-qaida/arabic-letters/haa,LOW,course,MONITOR,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
attahiyat last dua full in english,attahiyat last dua full in english,informational,salah-prayer,guide,Bangladesh,,none,none,none,top,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:11,47.1,HIGH,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
attahiyat lillahi wa salawatu,attahiyat lillahi wa salawatu,informational,salah-prayer,guide,India,,none,none,none,top,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:4,47.1,MEDIUM,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
darood ke baad ki dua,darood ke baad ki dua,informational,duas-supplications,guide,Saudi Arabia,,none,none,none,top,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:5,47.1,MEDIUM,/blog/dua-e-masura-arabic-english,/blog/dua-e-masura-arabic-english,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
female islamic teacher,female islamic teacher,commercial,quran-learning-service,service,United States,,women,none,gender-preference,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:100,47.1,MEDIUM,/female-quran-teacher-online,/female-quran-teacher-online,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
female quran academy,female quran academy,commercial,quran-learning-service,service,United States,,women,none,gender-preference,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:98,47.1,MEDIUM,/female-quran-teacher-online,/female-quran-teacher-online,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
free hifz course online,free hifz course online,commercial,quran-learning-service,service,United States,,none,hifz,cost,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:66,47.1,MEDIUM,/hifz-quran-online,/hifz-quran-online,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
free online hifz classes,free online hifz classes,commercial,quran-learning-service,service,United States,,none,hifz,cost,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:75,47.1,MEDIUM,/hifz-quran-online,/hifz-quran-online,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
hifz course,hifz course,commercial,quran-learning-service,service,United Kingdom,,none,hifz,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:90,47.1,MEDIUM,/hifz-quran-online,/hifz-quran-online,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
how to say inshallah in english,how to say inshallah in english,informational,islamic-terms,definition,CHN,,none,none,none,top,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:14,47.1,HIGH,/blog/inshallah-meaning-in-english,/blog/inshallah-meaning-in-english,LOW,definition,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
labbaik allahumma meaning,labbaik allahumma meaning,informational,islamic-terms,definition,MAR,,none,none,none,top,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:19,47.1,HIGH,/blog/labbaik-allahumma-labbaik,/blog/labbaik-allahumma-labbaik,LOW,definition,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
learn quran classes,learn quran classes,commercial,quran-learning-service,service,United States,,none,none,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:95,47.1,MEDIUM,/locations/online-quran-classes-usa,/locations/online-quran-classes-usa,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
learn quran online classes,learn quran online classes,commercial,quran-learning-service,service,United States,,none,none,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:96,47.1,MEDIUM,/locations/online-quran-classes-usa,/locations/online-quran-classes-usa,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
online arabic course in pakistan,online arabic course in pakistan,commercial,quran-learning-service,service,United States,,none,none,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:82,47.1,MEDIUM,/courses/arabic-language-online,/courses/arabic-language-online,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
online hifz class,online hifz class,commercial,quran-learning-service,service,United Kingdom,,none,hifz,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:92,47.1,MEDIUM,/hifz-quran-online,/hifz-quran-online,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
online hifz course free,online hifz course free,commercial,quran-learning-service,service,United States,,none,hifz,cost,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:63,47.1,MEDIUM,/hifz-quran-online,/hifz-quran-online,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
online hifz ul quran course free,online hifz ul quran course free,commercial,quran-learning-service,service,United States,,none,hifz,cost,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:93,47.1,MEDIUM,/hifz-quran-online,/hifz-quran-online,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
online quran academy uk,online quran academy uk,commercial,quran-learning-service,service,United Kingdom,,none,none,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:86,47.1,MEDIUM,/locations/online-quran-classes-uk,/locations/online-quran-classes-uk,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
online quran classes from pakistan,online quran classes from pakistan,commercial,quran-learning-service,service,United States,,none,none,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:95,47.1,MEDIUM,/online-quran-classes,/online-quran-classes,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
online quran classes in uk,online quran classes in uk,commercial,quran-learning-service,service,United Kingdom,,none,none,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:93,47.1,MEDIUM,/locations/online-quran-classes-uk,/locations/online-quran-classes-uk,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
online quran classes toronto,online quran classes toronto,commercial,quran-learning-service,service,United States,toronto,none,none,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:82,47.1,MEDIUM,/locations/online-quran-classes-canada,/locations/online-quran-classes-canada,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
online quran hifz classes free,online quran hifz classes free,commercial,quran-learning-service,service,United States,,none,hifz,cost,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:74,47.1,MEDIUM,/hifz-quran-online,/hifz-quran-online,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
online quran hifz classes pakistan,online quran hifz classes pakistan,commercial,quran-learning-service,service,United States,,none,hifz,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:86,47.1,MEDIUM,/hifz-quran-online,/hifz-quran-online,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
online quran teacher luton,online quran teacher luton,commercial,quran-learning-service,service,United Kingdom,luton,none,none,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:64,47.1,MEDIUM,/online-quran-classes/luton,/online-quran-classes/luton,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
online quran tuition,online quran tuition,commercial,quran-learning-service,service,United States,,none,none,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:86,47.1,MEDIUM,/locations/online-quran-classes-usa,/locations/online-quran-classes-usa,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
quran classes online for adults,quran classes online for adults,commercial,quran-learning-service,service,United States,,adults,none,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:99,47.1,MEDIUM,/online-quran-classes-for-adults,/online-quran-classes-for-adults,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
quran reading classes,quran reading classes,commercial,quran-learning-service,service,United States,,none,quran-reading,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:93,47.1,MEDIUM,/locations/online-quran-classes-usa,/locations/online-quran-classes-usa,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
quran study class,quran study class,commercial,quran-learning-service,service,United States,,none,none,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:82,47.1,MEDIUM,/locations/online-quran-classes-usa,/locations/online-quran-classes-usa,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
what is barakallah,what is barakallah,informational,islamic-terms,definition,HRV,,none,none,none,top,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:11,47.1,HIGH,/blog/barakallah-meaning,/blog/barakallah-meaning,LOW,definition,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
labaik allahu akbar meaning,labaik allahu akbar meaning,informational,islamic-terms,definition,Pakistan,,none,none,none,top,GSC_IMPRESSIONS_68D:6,GSC_AVG_POSITION:10.5,47.0,HIGH,/blog/labbaik-allahumma-labbaik,/blog/labbaik-allahumma-labbaik,LOW,definition,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
attahiyat meaning,attahiyat meaning,informational,salah-prayer,guide,United States,,none,none,none,top,GSC_IMPRESSIONS_68D:12,GSC_AVG_POSITION:25.1,46.9,HIGH,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,CONTENT REFRESH,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,HIGH
atahiyatu,atahiyatu,informational,salah-prayer,guide,Netherlands,,none,none,none,top,GSC_IMPRESSIONS_68D:5,GSC_AVG_POSITION:18,46.7,LOW,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
best online quran academy,best online quran academy,commercial,quran-learning-service,service,Pakistan,,none,none,none,middle,GSC_IMPRESSIONS_68D:11,GSC_AVG_POSITION:97.7,46.7,MEDIUM,/blog/best-online-quran-academy-guide,/blog/best-online-quran-academy-guide,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,HIGH
labaik means,labaik means,informational,islamic-terms,definition,Pakistan,,none,none,none,top,GSC_IMPRESSIONS_68D:5,GSC_AVG_POSITION:11.6,46.7,HIGH,/blog/labbaik-allahumma-labbaik,/blog/labbaik-allahumma-labbaik,LOW,definition,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
mashallah barakallahu feekum meaning,mashallah barakallahu feekum meaning,informational,islamic-terms,definition,India,,none,none,none,top,GSC_IMPRESSIONS_68D:5,GSC_AVG_POSITION:10.8,46.7,HIGH,/blog/barakallah-meaning,/blog/barakallah-meaning,LOW,definition,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
online quran classes free,online quran classes free,commercial,quran-learning-service,service,Pakistan,,none,none,cost,middle,GSC_IMPRESSIONS_68D:11,GSC_AVG_POSITION:87.9,46.7,MEDIUM,/free-quran-classes-online,/free-quran-classes-online,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,HIGH
online quran classes in usa,online quran classes in usa,commercial,quran-learning-service,service,Pakistan,,none,none,none,middle,GSC_IMPRESSIONS_68D:11,GSC_AVG_POSITION:86.6,46.7,MEDIUM,/locations/online-quran-classes-usa,/locations/online-quran-classes-usa,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,HIGH
al kursi translation,al kursi translation,informational,quran-surahs,reference,Netherlands,,none,none,none,top,GSC_IMPRESSIONS_68D:2,GSC_AVG_POSITION:38,46.6,HIGH,/blog/ayatul-kursi-arabic-english-benefits,/blog/ayatul-kursi-arabic-english-benefits,LOW,reference,MONITOR,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
bismillah means,bismillah means,informational,islamic-terms,definition,Spain,,none,none,none,top,GSC_IMPRESSIONS_68D:2,GSC_AVG_POSITION:38.5,46.6,HIGH,/blog/bismillah-meaning-in-english,/blog/bismillah-meaning-in-english,LOW,definition,MONITOR,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
dua masura english transliteration,dua masura english transliteration,informational,duas-supplications,guide,France,,none,none,none,top,GSC_IMPRESSIONS_68D:2,GSC_AVG_POSITION:19,46.6,MEDIUM,/blog/dua-e-masura-arabic-english,/blog/dua-e-masura-arabic-english,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
female quran teacher,female quran teacher,commercial,quran-learning-service,service,Pakistan,,women,none,gender-preference,middle,GSC_IMPRESSIONS_68D:10,GSC_AVG_POSITION:91.4,46.6,MEDIUM,/female-quran-teacher-online,/female-quran-teacher-online,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,HIGH
inshallah with apostrophe,inshallah with apostrophe,informational,islamic-terms,definition,Canada,,none,none,none,top,GSC_IMPRESSIONS_68D:2,GSC_AVG_POSITION:10,46.6,LOW,/blog/inshallah-meaning-in-english,/blog/inshallah-meaning-in-english,LOW,definition,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
interactive qaida,interactive qaida,informational,noorani-qaida,course,UKR,,none,noorani-qaida,none,top,GSC_IMPRESSIONS_68D:2,GSC_AVG_POSITION:10.5,46.6,LOW,/noorani-qaida,/noorani-qaida,LOW,course,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
ons 2021 census muslim percentage england and wales 6.5%,ons 2021 census muslim percentage england and wales 6.5%,informational,islamic-demographics,reference,United States,,none,none,none,top,GSC_IMPRESSIONS_68D:2,GSC_AVG_POSITION:10,46.6,MEDIUM,/blog/muslim-population-statistics-uk-usa,/blog/muslim-population-statistics-uk-usa,LOW,reference,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
ons 2021 census muslim population england and wales 6.5%,ons 2021 census muslim population england and wales 6.5%,informational,islamic-demographics,reference,United States,,none,none,none,top,GSC_IMPRESSIONS_68D:2,GSC_AVG_POSITION:9.5,46.6,MEDIUM,/blog/muslim-population-statistics-uk-usa,/blog/muslim-population-statistics-uk-usa,LOW,reference,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
ons census 2021 muslim population england and wales 3.9 million,ons census 2021 muslim population england and wales 3.9 million,informational,islamic-demographics,reference,United States,,none,none,none,top,GSC_IMPRESSIONS_68D:2,GSC_AVG_POSITION:8.5,46.6,MEDIUM,/blog/muslim-population-statistics-uk-usa,/blog/muslim-population-statistics-uk-usa,LOW,reference,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
ons census 2021 muslim population england wales 3.9 million,ons census 2021 muslim population england wales 3.9 million,informational,islamic-demographics,reference,United States,,none,none,none,top,GSC_IMPRESSIONS_68D:2,GSC_AVG_POSITION:9.5,46.6,MEDIUM,/blog/muslim-population-statistics-uk-usa,/blog/muslim-population-statistics-uk-usa,LOW,reference,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
ons england wales muslim population 2021 census 3.9 million,ons england wales muslim population 2021 census 3.9 million,informational,islamic-demographics,reference,United States,,none,none,none,top,GSC_IMPRESSIONS_68D:2,GSC_AVG_POSITION:8,46.6,MEDIUM,/blog/muslim-population-statistics-uk-usa,/blog/muslim-population-statistics-uk-usa,LOW,reference,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
ons muslim population england wales 2021 census 3.9 million,ons muslim population england wales 2021 census 3.9 million,informational,islamic-demographics,reference,United States,,none,none,none,top,GSC_IMPRESSIONS_68D:2,GSC_AVG_POSITION:7.5,46.6,MEDIUM,/blog/muslim-population-statistics-uk-usa,/blog/muslim-population-statistics-uk-usa,LOW,reference,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
ons muslim population england wales 2021 census official,ons muslim population england wales 2021 census official,informational,islamic-demographics,reference,United States,,none,none,none,top,GSC_IMPRESSIONS_68D:2,GSC_AVG_POSITION:9.5,46.6,MEDIUM,/blog/muslim-population-statistics-uk-usa,/blog/muslim-population-statistics-uk-usa,LOW,reference,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
uk muslim population 2021 census ons,uk muslim population 2021 census ons,informational,islamic-demographics,reference,Spain,,none,none,none,top,GSC_IMPRESSIONS_68D:2,GSC_AVG_POSITION:18.5,46.6,MEDIUM,/blog/muslim-population-statistics-uk-usa,/blog/muslim-population-statistics-uk-usa,LOW,reference,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
attahiyat 1 and 2,attahiyat 1 and 2,informational,salah-prayer,guide,MDV,,none,none,none,top,GSC_IMPRESSIONS_68D:4,GSC_AVG_POSITION:10.2,46.3,MEDIUM,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
attahiyat full,attahiyat full,informational,salah-prayer,guide,Australia,,none,none,none,top,GSC_IMPRESSIONS_68D:9,GSC_AVG_POSITION:13.6,46.3,LOW,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
quran 2:201 rabbana atina fid-dunya hasanah wa fil akhirati hasanah wa qina adhaban nar,quran 2:201 rabbana atina fid-dunya hasanah wa fil akhirati hasanah wa qina adhaban nar,informational,duas-supplications,guide,United States,,none,none,none,top,GSC_IMPRESSIONS_68D:4,GSC_AVG_POSITION:10.5,46.3,MEDIUM,/blog/rabbana-atina-fid-dunya,/blog/rabbana-atina-fid-dunya,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
rabbana atina in english,rabbana atina in english,informational,duas-supplications,guide,United States,,none,none,none,top,GSC_IMPRESSIONS_68D:18,GSC_AVG_POSITION:21.6,46.3,HIGH,/blog/rabbana-atina-fid-dunya,/blog/rabbana-atina-fid-dunya,LOW,guide,CONTENT REFRESH,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,HIGH
online quran classes for adults,online quran classes for adults,commercial,quran-learning-service,service,Pakistan,,adults,none,none,middle,GSC_IMPRESSIONS_68D:8,GSC_AVG_POSITION:97.5,46.1,MEDIUM,/online-quran-classes-for-adults,/online-quran-classes-for-adults,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
www quran teacher net,www quran teacher net,commercial,quran-learning-service,service,Pakistan,,none,none,none,middle,GSC_IMPRESSIONS_68D:8,GSC_AVG_POSITION:66,46.1,MEDIUM,/quran-teacher-online,/quran-teacher-online,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
at tahiyyatu lillahi,at tahiyyatu lillahi,informational,salah-prayer,guide,KEN,,none,none,none,top,GSC_IMPRESSIONS_68D:3,GSC_AVG_POSITION:9,45.9,LOW,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
best online quran classes free,best online quran classes free,commercial,quran-learning-service,service,Pakistan,,none,none,cost,middle,GSC_IMPRESSIONS_68D:7,GSC_AVG_POSITION:94.3,45.9,MEDIUM,/free-quran-classes-online,/free-quran-classes-online,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
labbaik means,labbaik means,informational,islamic-terms,definition,India,,none,none,none,top,GSC_IMPRESSIONS_68D:3,GSC_AVG_POSITION:11.7,45.9,HIGH,/blog/labbaik-allahumma-labbaik,/blog/labbaik-allahumma-labbaik,LOW,definition,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
ইনশাআল্লাহ in english,ইনশাআল্লাহ in english,informational,unclustered,unknown,Bangladesh,,none,none,none,top,GSC_IMPRESSIONS_68D:7,GSC_AVG_POSITION:13.1,45.9,HIGH,/blog/inshallah-meaning-in-english,/blog/inshallah-meaning-in-english,LOW,unknown,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
4 qul english translation,4 qul english translation,informational,quran-surahs,reference,India,,none,none,none,top,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:19,45.7,HIGH,/blog/4-quls,/blog/4-quls,LOW,reference,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
